flow,section,situation,page,title,disposition,evidence,verification
device,main,device-denying,consent,Declining,product-gap,C01;C02;C03;G05,captured-current-main-2026-09-26
device,main,device-submit-key,device-errors,Key creation failed,product-gap,C01;C02;G02,captured-current-main-2026-09-26
device,main,device-submit-deny,device-result,Decline failed,product-gap,C01;C02;G05,captured-current-main-2026-09-26
device,main,device-submit-session,device-errors,Session expired,product-gap,C01;C02;G02,captured-current-main-2026-09-26
device,main,device-declined,device-result,Connection declined,adapt-to-main,C01;C02,captured-current-main-2026-09-26
device,link,sign-in,sign-in,Sign in to Pollinations,adapt-to-main,C01;C02,captured-current-main-2026-09-26
device,link,device-signing-in,sign-in,Signing in,adapt-to-main,C01;C02;C03,captured-current-main-2026-09-26
device,link,error,sign-in-errors,Starting sign-in,adapt-to-main,C01;C02,captured-current-main-2026-09-26
device,link,account-deactivated,sign-in-errors,Account suspended,adapt-to-main,C01;C02;D02,captured-current-main-2026-09-26
device,link,staging-invite-only,sign-in-errors,Staging is invite-only,adapt-to-main,C01;C02;D02,captured-current-main-2026-09-26
device,link,login-failed,sign-in-errors,Couldn’t sign in,adapt-to-main,C01;C02;D02,captured-current-main-2026-09-26
device,link,device-code,device-code,Enter another code,adapt-to-main,C01;C02,captured-current-main-2026-09-26
device,link,device-code-invalid,device-code,Invalid code,adapt-to-main,C01;C02,captured-current-main-2026-09-26
device,link,device-request-invalid,device-errors,Invalid code,product-gap,C01;C02;G03;G04,captured-current-main-2026-09-26
device,link,device-code-expired,device-code,Expired code,adapt-to-main,C01;C02,captured-current-main-2026-09-26
device,link,device-request-expired,device-errors,Expired code,product-gap,C01;C02;G03;G04,captured-current-main-2026-09-26
device,link,device-code-used,device-code,Used code,adapt-to-main,C01;C02,captured-current-main-2026-09-26
device,link,device-request-used,consent,Used code,product-gap,C01;C02;G03,captured-current-main-2026-09-26
device,link,consent,consent,Allow access,adapt-to-main,C01;C02,captured-current-main-2026-09-26
device,link,consent-no-pollen,consent,Allow access · No Pollen,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
device,link,consent-paid-required,consent,Allow access · Paid required,adapt-to-main,C01;C02;D03,captured-main-279edfad8f-2026-09-26
device,link,device-request-app,device-errors,App unavailable,adapt-to-main,C01;C02,captured-current-main-2026-09-26
device,link,device-result,device-result,Access approved,adapt-to-main,C01;C02,source-audit-only
device,link,device-submit-approve,device-errors,Approval failed,product-gap,C01;C02;G02;G06,source-audit-only
device,link,device-session,sign-in,Checking account,adapt-to-main,C01;C02;C03,captured-current-main-2026-09-26
device,link,device-verifying,device-code,Verifying code,adapt-to-main,C01;C02;C03,captured-current-main-2026-09-26
device,link,device-code-unavailable,device-code,Verification unavailable,product-gap,C01;C02;G04,captured-current-main-2026-09-26
device,link,device-checking,consent,Checking request,product-gap,C01;C02;C03;G03,captured-current-main-2026-09-26
device,link,device-request-unavailable,device-errors,Verification unavailable,product-gap,C01;C02;G03;G04,captured-current-main-2026-09-26
device,link,device-request-lookup,device-errors,App lookup unavailable,product-gap,C01;C02;G01,captured-current-main-2026-09-26
device,link,device-approving,consent,Connecting,adapt-to-main,C01;C02;C03,captured-current-main-2026-09-26
device,link,device-denying,consent,Declining,product-gap,C01;C02;C03;G05,captured-current-main-2026-09-26
device,link,device-submit-key,device-errors,Key creation failed,product-gap,C01;C02;G02,captured-current-main-2026-09-26
device,link,device-submit-deny,device-result,Decline failed,product-gap,C01;C02;G05,captured-current-main-2026-09-26
device,link,device-submit-session,device-errors,Session expired,product-gap,C01;C02;G02,captured-current-main-2026-09-26
device,link,device-declined,device-result,Connection declined,adapt-to-main,C01;C02,captured-current-main-2026-09-26
account,main,dashboard-enter-signed-out,enter-signed-out,Dashboard sign-in,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
account,main,dashboard-enter-signed-out--action=sign-in&result=waiting,enter-signed-out,Dashboard sign-in · Signing in,adapt-to-main,C01;C02;C03,captured-main-279edfad8f-2026-09-26
account,main,dashboard-enter-signed-out--action=sign-in&result=error,enter-signed-out,Dashboard sign-in · Request failed,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
account,main,dashboard-dashboard-github,dashboard-github,Continue on GitHub · external reference,external-reference,C01;C02;C05,reference-verified-main-279edfad8f-2026-09-26
account,main,dashboard-dashboard-auth-error--dashboard_preview=1&login_error=BANNED_USER&login_flow=account&screen=account-deactivated,dashboard-auth-error,Account suspended,adapt-to-main,C01;C02;D02,captured-main-279edfad8f-2026-09-26
account,main,dashboard-dashboard-auth-error--dashboard_preview=1&login_error=staging_is_invite-only&login_flow=account&screen=staging-invite-only,dashboard-auth-error,Staging is invite-only,adapt-to-main,C01;C02;D02,captured-main-279edfad8f-2026-09-26
account,main,dashboard-dashboard-auth-error--dashboard_preview=1&login_error=unknown&login_flow=account,dashboard-auth-error,Couldn’t sign in,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
account,news,dashboard-news,news,News & FAQ,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
account,news,dashboard-news--screen=dash-news-signed-out,news,News & FAQ · Signed out,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
account,catalog,dashboard-catalog,catalog,Models,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
account,catalog,dashboard-catalog--model_catalog=loading,catalog,Models · Loading,adapt-to-main,C01;C02;C03,captured-main-279edfad8f-2026-09-26
account,catalog,dashboard-catalog--model_catalog=error,catalog,Models · Load failed,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
account,models,dashboard-models,models,Your models,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,models,dashboard-models--collection_case=empty,models,Your models · Empty,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,models,dashboard-models--collection_case=loading,models,Your models · Loading,adapt-to-main,C01;C02;C03,captured-main-1b7e621066-2026-09-26
account,models,dashboard-models--collection_case=error,models,Your models · Load failed,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,models,dashboard-models--publisher=1,models,Your models · Public publishing,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,models,dashboard-models--hidden=1,models,Your models · Hidden,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-create,model-create,Add model,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-create--action=create&result=waiting,model-create,Add model · Submitting,adapt-to-main,C01;C02;C03,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-create--action=create&result=error,model-create,Add model · Failed,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-create--publisher=1,model-create,Add model · Public publishing,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-edit,model-edit,Edit model,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-edit--action=save&result=waiting,model-edit,Edit model · Saving,adapt-to-main,C01;C02;C03,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-edit--action=save&result=error,model-edit,Edit model · Failed,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-edit--publisher=1,model-edit,Edit model · Public publishing,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-edit--publisher=1&queued=1,model-edit,Edit model · Changes queued,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-edit--action=test&publisher=1&result=waiting,model-edit,Edit model · Testing endpoint,adapt-to-main,C01;C02;C03,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-edit--action=test&publisher=1&result=error,model-edit,Edit model · Test failed,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-edit--action=test&publisher=1&result=success,model-edit,Edit model · Test succeeded,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-delete,model-delete,Delete model,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-delete--action=delete&result=waiting,model-delete,Delete model · Deleting,product-gap,C01;C02;C03;G12,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-delete--action=delete&result=error,model-delete,Delete model · Failed,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-visibility,model-visibility,Model visibility,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-visibility--hidden=1,model-visibility,Model visibility · Relist,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-visibility--action=visibility&result=waiting,model-visibility,Model visibility · Updating visibility,adapt-to-main,C01;C02;C03,captured-main-1b7e621066-2026-09-26
account,models,dashboard-model-visibility--action=visibility&result=error,model-visibility,Model visibility · Visibility update failed,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,keys,dashboard-keys,keys,API keys,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,keys,dashboard-keys--collection_case=empty,keys,API keys · Empty,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,keys,dashboard-key-create,key-create,Add API key,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,keys,dashboard-key-create--action=create&result=waiting,key-create,Add API key · Submitting,adapt-to-main,C01;C02;C03,captured-main-1b7e621066-2026-09-26
account,keys,dashboard-key-create--action=create&result=error,key-create,Add API key · Failed,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,keys,dashboard-key-create--action=create&result=success,key-create,Add API key · Created · copy key,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
account,keys,dashboard-key-edit,key-edit,Edit API key,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,keys,dashboard-key-edit--action=save&result=waiting,key-edit,Edit API key · Saving,adapt-to-main,C01;C02;C03,captured-main-1b7e621066-2026-09-26
account,keys,dashboard-key-edit--action=save&result=error,key-edit,Edit API key · Failed,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,keys,dashboard-key-delete,key-delete,Delete API key,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,keys,dashboard-key-delete--action=delete&result=waiting,key-delete,Delete API key · Deleting,adapt-to-main,C01;C02;C03,captured-main-1b7e621066-2026-09-26
account,keys,dashboard-key-delete--action=delete&result=error,key-delete,Delete API key · Failed,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,apps,dashboard-apps,apps,Apps,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,apps,dashboard-apps--collection_case=empty,apps,Apps · Empty,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,apps,dashboard-app-create,app-create,Add app,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,apps,dashboard-app-create--action=create&result=waiting,app-create,Add app · Submitting,adapt-to-main,C01;C02;C03,captured-main-1b7e621066-2026-09-26
account,apps,dashboard-app-create--action=create&result=error,app-create,Add app · Failed,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,apps,dashboard-app-create--action=create&result=success,app-create,Add app · Created · copy key,adapt-to-main,C01;C02,captured-main-279edfad8f-2026-09-26
account,apps,dashboard-app-edit,app-edit,Edit app,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,apps,dashboard-app-edit--action=save&result=waiting,app-edit,Edit app · Saving,adapt-to-main,C01;C02;C03,captured-main-1b7e621066-2026-09-26
account,apps,dashboard-app-edit--action=save&result=error,app-edit,Edit app · Failed,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,apps,dashboard-app-delete,app-delete,Delete app,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,apps,dashboard-app-delete--action=delete&result=waiting,app-delete,Delete app · Deleting,adapt-to-main,C01;C02;C03,captured-main-1b7e621066-2026-09-26
account,apps,dashboard-app-delete--action=delete&result=error,app-delete,Delete app · Failed,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,agents,dashboard-agents,agents,Your agents,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,agents,dashboard-agents--collection_case=empty,agents,Your agents · Empty,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,agents,dashboard-agents--collection_case=loading,agents,Your agents · Loading,adapt-to-main,C01;C02;C03,captured-main-1b7e621066-2026-09-26
account,agents,dashboard-agents--collection_case=error,agents,Your agents · Load failed,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,agents,dashboard-agents--publisher=1,agents,Your agents · Public publishing,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,agents,dashboard-agents--hidden=1,agents,Your agents · Hidden,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,agents,dashboard-agent-create,agent-create,Add agent,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,agents,dashboard-agent-create--action=create&result=waiting,agent-create,Add agent · Submitting,adapt-to-main,C01;C02;C03,captured-main-1b7e621066-2026-09-26
account,agents,dashboard-agent-create--action=create&result=error,agent-create,Add agent · Failed,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,agents,dashboard-agent-create--publisher=1,agent-create,Add agent · Public publishing,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,agents,dashboard-agent-edit,agent-edit,Edit agent,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,agents,dashboard-agent-edit--action=save&result=waiting,agent-edit,Edit agent · Saving,adapt-to-main,C01;C02;C03,captured-main-1b7e621066-2026-09-26
account,agents,dashboard-agent-edit--action=save&result=error,agent-edit,Edit agent · Failed,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,agents,dashboard-agent-edit--publisher=1,agent-edit,Edit agent · Public publishing,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,agents,dashboard-agent-edit--agent_kind=endpoint,agent-edit,Edit agent · Endpoint agent,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,agents,dashboard-agent-delete,agent-delete,Delete agent,adapt-to-main,C01;C02,captured-main-1b7e621066-2026-09-26
account,agents,dashboard-agent-delete--action=delete&result=waiting,agent-delete,Delete agent · Deleting,product-gap,C01;C02;C03;G12,captured-main-1b7e621066-2026-09-26
